NAME                                                                                 VERSION                                             TYPE
github.com/golang/gddo                                                               v0.0.0-20190904175337-72a348e765d2                  go-module
github.com/golang/groupcache                                                         v0.0.0-20210331224755-41bb18bfe9da                  go-module
github.com/golang/groupcache                                                         v0.0.0-20241129210726-2c02b8208cf8                  go-module            (+1 duplicate)
github.com/golang/protobuf                                                           v1.5.4                                              go-module            (+7 duplicates)
github.com/golang/snappy                                                             v0.0.4                                              go-module
github.com/google/btree                                                              v1.1.2                                              go-module
github.com/google/btree                                                              v1.1.3                                              go-module
github.com/google/certificate-transparency-go                                        v1.1.4                                              go-module
github.com/google/certificate-transparency-go                                        v1.3.2                                              go-module
github.com/google/gnostic-models                                                     v0.6.8                                              go-module            (+1 duplicate)
github.com/google/gnostic-models                                                     v0.7.0                                              go-module
github.com/google/go-cmp                                                             v0.6.0                                              go-module            (+3 duplicates)
github.com/google/go-cmp                                                             v0.7.0                                              go-module            (+1 duplicate)
github.com/google/go-containerregistry                                               v0.20.7                                             go-module
github.com/google/go-containerregistry                                               v0.21.2                                             go-module
github.com/google/go-github/v62                                                      v62.0.0                                             go-module
github.com/google/go-querystring                                                     v1.1.0                                              go-module
github.com/google/gofuzz                                                             v1.2.0                                              go-module            (+2 duplicates)
github.com/google/licensecheck                                                       v0.3.1                                              go-module
github.com/google/licenseclassifier/v2                                               v2.0.0                                              go-module
github.com/google/pprof                                                              v0.0.0-20250317173921-a4b03ec1a45e                  go-module
github.com/google/s2a-go                                                             v0.1.4                                              go-module
github.com/google/s2a-go                                                             v0.1.9                                              go-module            (+1 duplicate)
github.com/google/shlex                                                              v0.0.0-20191202100458-e7afc7fbc510                  go-module            (+2 duplicates)
github.com/google/uuid                                                               v1.3.1                                              go-module            (+1 duplicate)
github.com/google/uuid                                                               v1.6.0                                              go-module            (+5 duplicates)
github.com/googleapis/enterprise-certificate-proxy                                   v0.2.4                                              go-module
github.com/googleapis/enterprise-certificate-proxy                                   v0.3.11                                             go-module
github.com/googleapis/enterprise-certificate-proxy                                   v0.3.9                                              go-module
github.com/googleapis/gax-go/v2                                                      v2.12.0                                             go-module
github.com/googleapis/gax-go/v2                                                      v2.16.0                                             go-module
github.com/googleapis/gax-go/v2                                                      v2.17.0                                             go-module
github.com/gookit/color                                                              v1.6.0                                              go-module
github.com/gorilla/mux                                                               v1.8.0                                              go-module
github.com/gorilla/mux                                                               v1.8.1                                              go-module            (+1 duplicate)
github.com/gorilla/websocket                                                         v1.5.0                                              go-module            (+1 duplicate)
github.com/gorilla/websocket                                                         v1.5.1                                              go-module            (+2 duplicates)
github.com/gorilla/websocket                                                         v1.5.4-0.20250319132907-e064f32e3674                go-module
github.com/gosuri/uitable                                                            v0.0.4                                              go-module
github.com/gpustack/gguf-parser-go                                                   v0.24.0                                             go-module
github.com/gregjones/httpcache                                                       v0.0.0-20190611155906-901d90724c79                  go-module
github.com/grpc-ecosystem/go-grpc-middleware                                         v1.3.0                                              go-module            (+2 duplicates)
github.com/grpc-ecosystem/go-grpc-prometheus                                         v1.2.0                                              go-module            (+1 duplicate)
github.com/grpc-ecosystem/grpc-gateway                                               v1.16.0                                             go-module
github.com/grpc-ecosystem/grpc-gateway/v2                                            v2.16.0                                             go-module            (+2 duplicates)
github.com/grpc-ecosystem/grpc-gateway/v2                                            v2.27.3                                             go-module
github.com/hashicorp/aws-sdk-go-base/v2                                              v2.0.0-beta.65                                      go-module
github.com/hashicorp/aws-sdk-go-base/v2                                              v2.0.0-beta.70                                      go-module
github.com/hashicorp/errwrap                                                         v1.1.0                                              go-module            (+7 duplicates)
github.com/hashicorp/go-cleanhttp                                                    v0.5.2                                              go-module            (+3 duplicates)
github.com/hashicorp/go-cty-funcs                                                    v0.0.0-20230405223818-a090f58aa992                  go-module
github.com/hashicorp/go-getter                                                       v1.8.3                                              go-module
github.com/hashicorp/go-getter                                                       v1.8.5                                              go-module
github.com/hashicorp/go-immutable-radix                                              v1.3.1                                              go-module
github.com/hashicorp/go-memdb                                                        v1.3.2                                              go-module
github.com/hashicorp/go-msgpack                                                      v0.5.5                                              go-module
github.com/hashicorp/go-multierror                                                   v1.1.1                                              go-module            (+7 duplicates)
github.com/hashicorp/go-retryablehttp                                                v0.7.8                                              go-module
github.com/hashicorp/go-sockaddr                                                     v1.0.2                                              go-module
github.com/hashicorp/go-uuid                                                         v1.0.3                                              go-module
github.com/hashicorp/go-version                                                      v1.6.0                                              go-module
github.com/hashicorp/go-version                                                      v1.8.0                                              go-module            (+1 duplicate)
github.com/hashicorp/golang-lru                                                      v0.5.4                                              go-module
github.com/hashicorp/golang-lru/v2                                                   v2.0.7                                              go-module            (+1 duplicate)
github.com/hashicorp/hcl/v2                                                          v2.20.1                                             go-module
github.com/hashicorp/hcl/v2                                                          v2.24.0                                             go-module            (+1 duplicate)
github.com/hashicorp/memberlist                                                      v0.4.0                                              go-module
github.com/hashicorp/serf                                                            v0.8.5                                              go-module
github.com/henvic/httpretty                                                          v0.1.4                                              go-module
github.com/huandu/xstrings                                                           v1.5.0                                              go-module            (+1 duplicate)
github.com/iancoleman/strcase                                                        v0.3.0                                              go-module
github.com/imdario/mergo                                                             v0.3.16                                             go-module            (+1 duplicate)
github.com/in-toto/attestation                                                       v1.1.2                                              go-module
github.com/in-toto/in-toto-golang                                                    v0.5.0                                              go-module            (+2 duplicates)
github.com/in-toto/in-toto-golang                                                    v0.9.0                                              go-module
github.com/intel/goresctrl                                                           v0.2.0                                              go-module
github.com/ishidawataru/sctp                                                         v0.0.0-20230406120618-7ff4192f6ff2                  go-module            (+1 duplicate)
github.com/jbenet/go-context                                                         v0.0.0-20150711004518-d14ea06fba99                  go-module            (+1 duplicate)
github.com/jedib0t/go-pretty/v6                                                      v6.7.8                                              go-module
github.com/jedisct1/go-minisign                                                      v0.0.0-20230811132847-661be99b8267                  go-module
github.com/jinzhu/copier                                                             v0.4.0                                              go-module
github.com/jmoiron/sqlx                                                              v1.3.3                                              go-module
github.com/jmoiron/sqlx                                                              v1.4.0                                              go-module
github.com/jonboulle/clockwork                                                       v0.4.0                                              go-module
github.com/josephburnett/jd/v2                                                       v2.3.0                                              go-module
github.com/josharian/intern                                                          v1.0.0                                              go-module            (+1 duplicate)
github.com/jpillora/ipfilter                                                         v1.2.9                                              go-module
github.com/json-iterator/go                                                          v1.1.12                                             go-module            (+4 duplicates)
github.com/kardianos/service                                                         v1.2.2                                              go-module            (+1 duplicate)
github.com/kastenhq/goversion                                                        v0.0.0-20230811215019-93b2f8823953                  go-module
github.com/kballard/go-shellquote                                                    v0.0.0-20180428030007-95032a82bc51                  go-module
github.com/kevinburke/ssh_config                                                     v1.2.0                                              go-module            (+1 duplicate)
github.com/klauspost/compress                                                        v1.15.9                                             go-module            (+3 duplicates)
github.com/klauspost/compress                                                        v1.17.4                                             go-module            (+2 duplicates)
github.com/klauspost/compress                                                        v1.18.1                                             go-module
github.com/klauspost/compress                                                        v1.18.4                                             go-module
github.com/klauspost/pgzip                                                           v1.2.6                                              go-module
github.com/knqyf263/go-apk-version                                                   v0.0.0-20200609155635-041fdbb8563f                  go-module
github.com/knqyf263/go-deb-version                                                   v0.0.0-20241115132648-6f4aee6ccd23                  go-module
github.com/knqyf263/go-rpm-version                                                   v0.0.0-20220614171824-631e686d1075                  go-module
github.com/knqyf263/go-rpmdb                                                         v0.1.1                                              go-module
github.com/knqyf263/nested                                                           v0.0.1                                              go-module
github.com/kylelemons/godebug                                                        v1.1.0                                              go-module
github.com/lann/builder                                                              v0.0.0-20180802200727-47ae307949d0                  go-module
github.com/lann/ps                                                                   v0.0.0-20150810152359-62de8c46ede0                  go-module
github.com/leaanthony/go-ansi-parser                                                 v1.6.0                                              go-module
github.com/leaanthony/slicer                                                         v1.6.0                                              go-module
github.com/leaanthony/u                                                              v1.1.0                                              go-module
github.com/leodido/go-urn                                                            v1.4.0                                              go-module
github.com/lestrrat-go/blackmagic                                                    v1.0.4                                              go-module
github.com/lestrrat-go/dsig                                                          v1.0.0                                              go-module
github.com/lestrrat-go/httpcc                                                        v1.0.1                                              go-module
github.com/lestrrat-go/httprc/v3                                                     v3.0.1                                              go-module
github.com/lestrrat-go/jwx/v3                                                        v3.0.12                                             go-module
github.com/lestrrat-go/option                                                        v1.0.1                                              go-module
github.com/lestrrat-go/option/v2                                                     v2.0.0                                              go-module
github.com/letsencrypt/boulder                                                       v0.20251110.0                                       go-module
github.com/lib/pq                                                                    v1.10.9                                             go-module
github.com/liggitt/tabwriter                                                         v0.0.0-20181228230101-89fcab3d43de                  go-module
github.com/lucasb-eyer/go-colorful                                                   v1.3.0                                              go-module
github.com/lunixbochs/struc                                                          v0.0.0-20200707160740-784aaebc1d40                  go-module
github.com/mailru/easyjson                                                           v0.7.7                                              go-module            (+1 duplicate)
github.com/masahiro331/go-disk                                                       v0.0.0-20240625071113-56c933208fee                  go-module
github.com/masahiro331/go-ebs-file                                                   v0.0.0-20240917043618-e6d2bea5c32e                  go-module
github.com/masahiro331/go-ext4-filesystem                                            v0.0.0-20240620024024-ca14e6327bbd                  go-module
github.com/masahiro331/go-mvn-version                                                v0.0.0-20250131095131-f4974fa13b8a                  go-module
github.com/masahiro331/go-vmdk-parser                                                v0.0.0-20221225061455-612096e4bbbd                  go-module
github.com/masahiro331/go-xfs-filesystem                                             v0.0.0-20231205045356-1b22259a6c44                  go-module
github.com/mattn/go-colorable                                                        v0.1.13                                             go-module
github.com/mattn/go-colorable                                                        v0.1.14                                             go-module            (+1 duplicate)
github.com/mattn/go-isatty                                                           v0.0.17                                             go-module
github.com/mattn/go-isatty                                                           v0.0.20                                             go-module            (+2 duplicates)
github.com/mattn/go-runewidth                                                        v0.0.15                                             go-module            (+1 duplicate)
github.com/mattn/go-runewidth                                                        v0.0.16                                             go-module
github.com/mattn/go-runewidth                                                        v0.0.19                                             go-module
github.com/mattn/go-shellwords                                                       v1.0.12                                             go-module            (+2 duplicates)
github.com/matttproud/golang_protobuf_extensions                                     v1.0.4                                              go-module            (+3 duplicates)
github.com/mgutz/ansi                                                                v0.0.0-20170206155736-9520e82c474b                  go-module
github.com/mgutz/ansi                                                                v0.0.0-20200706080929-d51e80ef957d                  go-module
github.com/mholt/archives                                                            v0.1.5                                              go-module
github.com/miekg/dns                                                                 v1.1.57                                             go-module
github.com/miekg/pkcs11                                                              v1.1.1                                              go-module
github.com/mikelolasagasti/xz                                                        v1.0.1                                              go-module
github.com/minio/minlz                                                               v1.0.1                                              go-module
github.com/mistifyio/go-zfs/v3                                                       v3.0.1                                              go-module            (+1 duplicate)
github.com/mitchellh/copystructure                                                   v1.2.0                                              go-module            (+4 duplicates)
github.com/mitchellh/go-homedir                                                      v1.1.0                                              go-module            (+1 duplicate)
github.com/mitchellh/go-wordwrap                                                     v0.0.0-20150314170334-ad45545899c7                  go-module
github.com/mitchellh/go-wordwrap                                                     v1.0.1                                              go-module            (+1 duplicate)
github.com/mitchellh/hashstructure/v2                                                v2.0.2                                              go-module            (+1 duplicate)
github.com/mitchellh/mapstructure                                                    v1.5.0                                              go-module            (+1 duplicate)
github.com/mitchellh/mapstructure                                                    v1.5.1-0.20231216201459-8508981c8b6c                go-module
github.com/mitchellh/reflectwalk                                                     v1.0.2                                              go-module            (+4 duplicates)
github.com/moby/buildkit                                                             v0.13.0-rc3.0.20240417151852-71f99c52a669           go-module
github.com/moby/buildkit                                                             v0.13.1                                             go-module
github.com/moby/buildkit                                                             v0.13.2                                             go-module
github.com/moby/buildkit                                                             v0.26.2                                             go-module
github.com/moby/docker-image-spec                                                    v1.3.1                                              go-module            (+4 duplicates)
github.com/moby/ipvs                                                                 v1.1.0                                              go-module
github.com/moby/locker                                                               v1.0.1                                              go-module            (+6 duplicates)
github.com/moby/moby/api                                                             v1.52.0                                             go-module
github.com/moby/moby/api                                                             v1.54.0                                             go-module
github.com/moby/moby/client                                                          v0.2.1                                              go-module
github.com/moby/moby/client                                                          v0.3.0                                              go-module
github.com/moby/patternmatcher                                                       v0.6.0                                              go-module            (+2 duplicates)
github.com/moby/pubsub                                                               v1.0.0                                              go-module
github.com/moby/spdystream                                                           v0.2.0                                              go-module            (+2 duplicates)
github.com/moby/spdystream                                                           v0.5.0                                              go-module
github.com/moby/swarmkit/v2                                                          v2.0.0-20240412154004-f3ffc0881d0e                  go-module
github.com/moby/sys/atomicwriter                                                     v0.1.0                                              go-module
github.com/moby/sys/mount                                                            v0.3.3                                              go-module
github.com/moby/sys/mountinfo                                                        v0.5.0                                              go-module
github.com/moby/sys/mountinfo                                                        v0.6.2                                              go-module            (+4 duplicates)
github.com/moby/sys/mountinfo                                                        v0.7.1                                              go-module            (+2 duplicates)
github.com/moby/sys/mountinfo                                                        v0.7.2                                              go-module            (+1 duplicate)
github.com/moby/sys/sequential                                                       v0.5.0                                              go-module            (+2 duplicates)
github.com/moby/sys/sequential                                                       v0.6.0                                              go-module
github.com/moby/sys/signal                                                           v0.6.0                                              go-module            (+1 duplicate)
github.com/moby/sys/signal                                                           v0.7.0                                              go-module            (+2 duplicates)
github.com/moby/sys/signal                                                           v0.7.1                                              go-module            (+1 duplicate)
github.com/moby/sys/symlink                                                          v0.2.0                                              go-module            (+2 duplicates)
github.com/moby/sys/user                                                             v0.1.0                                              go-module            (+6 duplicates)
github.com/moby/sys/user                                                             v0.4.0                                              go-module            (+1 duplicate)
github.com/moby/sys/userns                                                           v0.1.0                                              go-module            (+1 duplicate)
github.com/moby/term                                                                 v0.5.0                                              go-module            (+2 duplicates)
github.com/moby/term                                                                 v0.5.2                                              go-module
github.com/modern-go/concurrent                                                      v0.0.0-20180306012644-bacd9c7ef1dd                  go-module            (+4 duplicates)
github.com/modern-go/reflect2                                                        v1.0.2                                              go-module            (+2 duplicates)
github.com/modern-go/reflect2                                                        v1.0.3-0.20250322232337-35a7c28c31ee                go-module            (+1 duplicate)
github.com/monochromegane/go-gitignore                                               v0.0.0-20200626010858-205db1a8cc00                  go-module
github.com/morikuni/aec                                                              v1.0.0                                              go-module            (+3 duplicates)
github.com/mrunalp/fileutils                                                         v0.5.1                                              go-module
github.com/muesli/ansi                                                               v0.0.0-20230316100256-276c6243b2f6                  go-module
github.com/muesli/cancelreader                                                       v0.2.2                                              go-module
github.com/muesli/termenv                                                            v0.16.0                                             go-module
github.com/munnerz/goautoneg                                                         v0.0.0-20191010083416-a7dc8b61c822                  go-module            (+2 duplicates)
github.com/mxk/go-flowrate                                                           v0.0.0-20140419014527-cca7078d478f                  go-module            (+2 duplicates)
github.com/nikolalohinski/gonja/v2                                                   v2.4.2                                              go-module
github.com/nix-community/go-nix                                                      v0.0.0-20250101154619-4bdde671e0a1                  go-module
github.com/nozzle/throttler                                                          v0.0.0-20180817012639-2ea982251481                  go-module
github.com/nwaples/rardecode/v2                                                      v2.2.0                                              go-module
github.com/oklog/ulid                                                                v1.3.1                                              go-module
github.com/oklog/ulid/v2                                                             v2.1.1                                              go-module
github.com/olekukonko/cat                                                            v0.0.0-20250911104152-50322a0618f6                  go-module
github.com/olekukonko/errors                                                         v1.2.0                                              go-module
github.com/olekukonko/ll                                                             v0.1.6                                              go-module
github.com/olekukonko/tablewriter                                                    v1.1.4                                              go-module
github.com/open-policy-agent/opa                                                     v1.11.0                                             go-module
github.com/opencontainers/go-digest                                                  v1.0.0                                              go-module            (+9 duplicates)
github.com/opencontainers/image-spec                                                 v1.1.0                                              go-module            (+4 duplicates)
github.com/opencontainers/image-spec                                                 v1.1.0-rc5                                          go-module            (+1 duplicate)
github.com/opencontainers/image-spec                                                 v1.1.1                                              go-module            (+1 duplicate)
github.com/opencontainers/runc                                                       v0.0.0-20240123131248-51d5e94601ce                  go-module
github.com/opencontainers/runc                                                       v1.1.12                                             go-module
github.com/opencontainers/runtime-spec                                               v1.0.3-0.20210326190908-1c3f411f0417                go-module            (+5 duplicates)
github.com/opencontainers/runtime-spec                                               v1.2.0                                              go-module
github.com/opencontainers/runtime-spec                                               v1.2.1                                              go-module
github.com/opencontainers/runtime-spec                                               v1.3.0                                              go-module
github.com/opencontainers/runtime-tools                                              v0.9.1-0.20221107090550-2e043c6bd626                go-module
github.com/opencontainers/selinux                                                    v1.10.0                                             go-module
github.com/opencontainers/selinux                                                    v1.10.1                                             go-module            (+1 duplicate)
github.com/opencontainers/selinux                                                    v1.11.0                                             go-module
github.com/opencontainers/selinux                                                    v1.13.0                                             go-module
github.com/opencontainers/selinux                                                    v1.13.1                                             go-module
github.com/openvex/discovery                                                         v0.1.1-0.20240802171711-7c54efc57553                go-module
github.com/openvex/go-vex                                                            v0.2.7                                              go-module
github.com/owenrumney/go-sarif/v2                                                    v2.3.3                                              go-module
github.com/owenrumney/squealer                                                       v1.2.12                                             go-module
github.com/package-url/packageurl-go                                                 v0.1.1-0.20220428063043-89078438f170                go-module
github.com/package-url/packageurl-go                                                 v0.1.3                                              go-module
github.com/pandatix/go-cvss                                                          v0.6.2                                              go-module
github.com/pborman/indent                                                            v1.2.1                                              go-module
github.com/pelletier/go-toml                                                         v1.9.5                                              go-module            (+5 duplicates)
github.com/pelletier/go-toml/v2                                                      v2.2.0                                              go-module
github.com/pelletier/go-toml/v2                                                      v2.2.4                                              go-module            (+1 duplicate)
github.com/peterbourgon/diskv                                                        v2.0.1+incompatible                                 go-module
github.com/philhofer/fwd                                                             v1.1.2                                              go-module
github.com/phuslu/iploc                                                              v1.0.20240331                                       go-module
github.com/pierrec/lz4/v4                                                            v4.1.22                                             go-module
github.com/pjbgf/sha1cd                                                              v0.3.2                                              go-module            (+1 duplicate)
github.com/pkg/browser                                                               v0.0.0-20210911075715-681adbf594b8                  go-module
github.com/pkg/browser                                                               v0.0.0-20240102092130-5ac0b6a4141c                  go-module
github.com/pkg/errors                                                                v0.9.1                                              go-module            (+10 duplicates)
github.com/pkg/profile                                                               v1.7.0                                              go-module
github.com/pkg/xattr                                                                 v0.4.9                                              go-module
github.com/planetscale/vtprotobuf                                                    v0.6.1-0.20240319094008-0393e58bdf10                go-module
github.com/pmezard/go-difflib                                                        v1.0.0                                              go-module            (+2 duplicates)
github.com/pmezard/go-difflib                                                        v1.0.1-0.20181226105442-5d4384ee4fb2                go-module
github.com/prometheus/client_golang                                                  v1.11.1                                             go-module
github.com/prometheus/client_golang                                                  v1.17.0                                             go-module            (+2 duplicates)
github.com/prometheus/client_golang                                                  v1.23.2                                             go-module
github.com/prometheus/client_model                                                   v0.2.0                                              go-module
github.com/prometheus/client_model                                                   v0.5.0                                              go-module            (+2 duplicates)
github.com/prometheus/client_model                                                   v0.6.2                                              go-module
github.com/prometheus/common                                                         v0.30.0                                             go-module
github.com/prometheus/common                                                         v0.44.0                                             go-module            (+2 duplicates)
github.com/prometheus/common                                                         v0.67.4                                             go-module
github.com/prometheus/procfs                                                         v0.12.0                                             go-module            (+2 duplicates)
github.com/prometheus/procfs                                                         v0.17.0                                             go-module
github.com/prometheus/procfs                                                         v0.7.3                                              go-module
github.com/r3labs/sse                                                                v0.0.0-20210224172625-26fe804710bc                  go-module
github.com/rcrowley/go-metrics                                                       v0.0.0-20250401214520-65e299d6c5c9                  go-module
github.com/remyoudompheng/bigfft                                                     v0.0.0-20230129092748-24d4a6f8daec                  go-module            (+1 duplicate)
github.com/rivo/uniseg                                                               v0.2.0                                              go-module            (+1 duplicate)
github.com/rivo/uniseg                                                               v0.4.4                                              go-module
github.com/rivo/uniseg                                                               v0.4.7                                              go-module            (+1 duplicate)
github.com/rootless-containers/rootlesskit/v2                                        v2.0.2                                              go-module
github.com/rubenv/sql-migrate                                                        v1.8.0                                              go-module
github.com/russross/blackfriday/v2                                                   v2.0.1                                              go-module            (+2 duplicates)
github.com/russross/blackfriday/v2                                                   v2.1.0                                              go-module
github.com/rust-secure-code/go-rustaudit                                             v0.0.0-20250226111315-e20ec32e963c                  go-module            (+1 duplicate)
github.com/sagikazarmark/locafero                                                    v0.11.0                                             go-module
github.com/sagikazarmark/locafero                                                    v0.7.0                                              go-module
github.com/saintfish/chardet                                                         v0.0.0-20230101081208-5e3ef4b5456d                  go-module
github.com/samber/lo                                                                 v1.38.1                                             go-module
github.com/samber/lo                                                                 v1.52.0                                             go-module
github.com/samber/oops                                                               v1.18.1                                             go-module
github.com/santhosh-tekuri/jsonschema/v6                                             v6.0.2                                              go-module
github.com/sassoftware/go-rpmutils                                                   v0.4.0                                              go-module            (+1 duplicate)
github.com/sassoftware/relic                                                         v7.2.1+incompatible                                 go-module
github.com/scylladb/go-set                                                           v1.0.3-0.20200225121959-cc7b2070d91e                go-module
github.com/sean-/seed                                                                v0.0.0-20170313163322-e2103e2c3529                  go-module
github.com/seccomp/libseccomp-golang                                                 v0.9.2-0.20220502022130-f33da4d89646                go-module
github.com/secure-systems-lab/go-securesystemslib                                    v0.10.0                                             go-module
github.com/secure-systems-lab/go-securesystemslib                                    v0.4.0                                              go-module            (+2 duplicates)
github.com/sergi/go-diff                                                             v1.4.0                                              go-module            (+1 duplicate)
github.com/serialx/hashring                                                          v0.0.0-20200727003509-22c0c7ab6b1b                  go-module            (+1 duplicate)
github.com/shibumi/go-pathspec                                                       v1.3.0                                              go-module            (+3 duplicates)
github.com/shopspring/decimal                                                        v1.4.0                                              go-module            (+1 duplicate)
github.com/shurcooL/sanitized_anchor_name                                            v1.0.0                                              go-module            (+2 duplicates)
