NAME                                                                                 VERSION                                             TYPE
debian-archive-keyring                                                               2023.3+deb12u2                                      deb
debian-keyring                                                                       2022.12.24                                          deb
debianutils                                                                          5.7-0.5~deb12u1                                     deb
desktop-base                                                                         12.0.6+nmu1~deb12u1                                 deb
desktop-file-utils                                                                   0.26-1                                              deb
deviceon                                                                             v2.0.9                                              go-module
dictionaries-common                                                                  1.29.5                                              deb
diffutils                                                                            1:3.8-4                                             deb
dirmngr                                                                              2.2.40-1.1+deb12u2                                  deb
distlib                                                                              0.3.6                                               python
distro                                                                               1.8.0                                               python
distro-info-data                                                                     0.58+deb12u6                                        deb
dmsetup                                                                              2:1.02.185-2                                        deb
dnsmasq-base                                                                         2.90-4~deb12u1                                      deb
docker-buildx-plugin                                                                 0.14.0-1~debian.12~bookworm                         deb
docker-ce                                                                            5:26.1.3-1~debian.12~bookworm                       deb
docker-ce-cli                                                                        5:26.1.3-1~debian.12~bookworm                       deb
docker-compose-plugin                                                                2.27.0-1~debian.12~bookworm                         deb
docutils                                                                             0.19                                                python
docutils-common                                                                      0.19+dfsg-6                                         deb
dosfstools                                                                           4.2-1                                               deb
dpkg                                                                                 1.21.22                                             deb
dpkg-dev                                                                             1.21.22                                             deb
dvb-tools                                                                            1.22.1-5                                            deb
dvb-tools-dbgsym                                                                     1.22.1-5                                            deb
e2fsprogs                                                                            1.47.0-2+b2                                         deb
eject                                                                                2.38.1-5+deb12u3                                    deb
emacsen-common                                                                       3.0.5                                               deb
empy                                                                                 3.3.4                                               python
ethtool                                                                              1:6.1-1                                             deb
evtest                                                                               1:1.35-1                                            deb
exfat-fuse                                                                           1.3.0+git20220115-2                                 deb
exfatprogs                                                                           1.2.0-1+deb12u1                                     deb
exo-utils                                                                            4.18.0-1                                            deb
fdisk                                                                                2.38.1-5+deb12u3                                    deb
file                                                                                 1:5.44-3                                            deb
findutils                                                                            4.9.0-4                                             deb
fio                                                                                  3.33-3                                              deb
firmware-ath9k-htc                                                                   1.4.0-108-gd856466+dfsg1-1.3+deb12u1                deb
firmware-linux-free                                                                  20200122-1                                          deb
flake8                                                                               5.0.4                                               python
flake8-blind-except                                                                  0.2.1                                               python
flake8-class-newline                                                                 1.6.0                                               python
flake8-deprecated                                                                    2.0.1                                               python
fontconfig                                                                           2.14.1-4                                            deb
fontconfig-config                                                                    2.14.1-4                                            deb
fonts-aenigma                                                                        0.0.20080511+dfsg-4                                 deb
fonts-dejavu-core                                                                    2.37-6                                              deb
fonts-quicksand                                                                      0.2016-2.1                                          deb
fonts-urw-base35                                                                     20200910-7                                          deb
fonts-wqy-microhei                                                                   0.2.0-beta-3.1                                      deb
fonts-wqy-zenhei                                                                     0.9.45-8                                            deb
ftp                                                                                  20210827-4                                          deb
fuse3                                                                                3.14.0-4                                            deb
g++                                                                                  4:12.2.0-3                                          deb
g++-12                                                                               12.2.0-14+deb12u1                                   deb
gcc                                                                                  4:12.2.0-3                                          deb
gcc-12                                                                               12.2.0-14+deb12u1                                   deb
gcc-12-base                                                                          12.2.0-14+deb12u1                                   deb
gdal-data                                                                            3.6.2+dfsg-1                                        deb
gdal-plugins                                                                         3.6.2+dfsg-1+b2                                     deb
gdb                                                                                  13.1-3                                              deb
gdbserver                                                                            13.1-3                                              deb
gdisk                                                                                1.0.9-2.1                                           deb
gir1.2-atk-1.0                                                                       2.46.0-5                                            deb
gir1.2-atspi-2.0                                                                     2.46.0-5                                            deb
gir1.2-cheese-3.0                                                                    43.0-1                                              deb
gir1.2-clutter-1.0                                                                   1.26.4+dfsg-4                                       deb
gir1.2-clutter-gst-3.0                                                               3.0.27-3                                            deb
gir1.2-cogl-1.0                                                                      1.22.8-3+b1                                         deb
gir1.2-coglpango-1.0                                                                 1.22.8-3+b1                                         deb
gir1.2-freedesktop                                                                   1.74.0-3                                            deb
gir1.2-gdkpixbuf-2.0                                                                 2.42.10+dfsg-1+deb12u3                              deb
gir1.2-glib-2.0                                                                      1.74.0-3                                            deb
gir1.2-gst-plugins-bad-1.0                                                           1.22.9-2                                            deb
gir1.2-gst-plugins-base-1.0                                                          1.22.9-1                                            deb
gir1.2-gstreamer-1.0                                                                 1.22.9-1                                            deb
gir1.2-gtk-2.0                                                                       2.24.33-2+deb12u1                                   deb
gir1.2-gtk-3.0                                                                       3.24.38-2~deb12u3                                   deb
gir1.2-gtkclutter-1.0                                                                1.8.4-4+b1                                          deb
gir1.2-gudev-1.0                                                                     237-2                                               deb
gir1.2-harfbuzz-0.0                                                                  6.0.0+dfsg-3                                        deb
gir1.2-ibus-1.0                                                                      1.5.27-5                                            deb
gir1.2-json-1.0                                                                      1.6.6-1                                             deb
gir1.2-nm-1.0                                                                        1.42.4-1+deb12u1                                    deb
gir1.2-packagekitglib-1.0                                                            1.2.6-5                                             deb
gir1.2-pango-1.0                                                                     1.50.12+ds-1                                        deb
gir1.2-wp-0.4                                                                        0.4.13-1                                            deb
git                                                                                  1:2.39.5-0+deb12u3                                  deb
git-man                                                                              1:2.39.5-0+deb12u3                                  deb
github.com/AlecAivazis/survey/v2                                                     v2.3.7                                              go-module
github.com/Azure/azure-sdk-for-go/sdk/azcore                                         v1.20.0                                             go-module
github.com/Azure/azure-sdk-for-go/sdk/azidentity                                     v1.13.1                                             go-module
github.com/Azure/azure-sdk-for-go/sdk/containers/azcontainerregistry                 v0.2.3                                              go-module
github.com/Azure/azure-sdk-for-go/sdk/internal                                       v1.11.2                                             go-module
github.com/AzureAD/microsoft-authentication-library-for-go                           v1.6.0                                              go-module
github.com/BurntSushi/toml                                                           v1.5.0                                              go-module
github.com/BurntSushi/toml                                                           v1.6.0                                              go-module
github.com/CycloneDX/cyclonedx-go                                                    v0.10.0                                             go-module
github.com/CycloneDX/cyclonedx-go                                                    v0.9.3                                              go-module
github.com/GoogleCloudPlatform/docker-credential-gcr/v2                              v2.1.30                                             go-module
github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp             v1.30.0                                             go-module            (+1 duplicate)
github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/metric           v0.54.0                                             go-module
github.com/GoogleCloudPlatform/opentelemetry-operations-go/exporter/metric           v0.55.0                                             go-module
github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/resourcemapping  v0.54.0                                             go-module
github.com/GoogleCloudPlatform/opentelemetry-operations-go/internal/resourcemapping  v0.55.0                                             go-module
github.com/Graylog2/go-gelf                                                          v0.0.0-20191017102106-1550ee647df0                  go-module
github.com/Intevation/gval                                                           v1.3.0                                              go-module
github.com/Intevation/jsonpath                                                       v0.2.1                                              go-module
github.com/MakeNowJust/heredoc                                                       v1.0.0                                              go-module
github.com/Masterminds/goutils                                                       v1.1.1                                              go-module            (+1 duplicate)
github.com/Masterminds/semver/v3                                                     v3.2.1                                              go-module            (+1 duplicate)
github.com/Masterminds/semver/v3                                                     v3.4.0                                              go-module            (+1 duplicate)
github.com/Masterminds/sprig/v3                                                      v3.3.0                                              go-module            (+1 duplicate)
github.com/Masterminds/squirrel                                                      v1.5.4                                              go-module
github.com/Microsoft/hcsshim                                                         v0.11.4                                             go-module
github.com/Microsoft/hcsshim                                                         v0.9.11                                             go-module            (+1 duplicate)
github.com/NYTimes/gziphandler                                                       v1.1.1                                              go-module
github.com/OneOfOne/xxhash                                                           v1.2.8                                              go-module
github.com/ProtonMail/go-crypto                                                      v1.3.0                                              go-module
github.com/ProtonMail/go-crypto                                                      v1.4.0                                              go-module
github.com/RackSec/srslog                                                            v0.0.0-20180709174129-a4725f04ec91                  go-module
github.com/STARRY-S/zip                                                              v0.2.3                                              go-module
github.com/VividCortex/ewma                                                          v1.2.0                                              go-module
github.com/acarl005/stripansi                                                        v0.0.0-20180116102854-5a71ef0e047d                  go-module            (+1 duplicate)
github.com/acobaugh/osrelease                                                        v0.1.0                                              go-module
github.com/adrg/xdg                                                                  v0.5.3                                              go-module
github.com/agext/levenshtein                                                         v1.2.1                                              go-module
github.com/agext/levenshtein                                                         v1.2.3                                              go-module            (+2 duplicates)
github.com/agnivade/levenshtein                                                      v1.2.1                                              go-module
github.com/alecthomas/chroma                                                         v0.10.0                                             go-module
github.com/anchore/bubbly                                                            v0.0.0-20231115134915-def0aba654a9                  go-module
github.com/anchore/clio                                                              v0.0.0-20250319180342-2cfe4b0cb716                  go-module
github.com/anchore/fangs                                                             v0.0.0-20250319222917-446a1e748ec2                  go-module
github.com/anchore/go-collections                                                    v0.0.0-20251016125210-a3c352120e8c                  go-module
github.com/anchore/go-homedir                                                        v0.0.0-20250319154043-c29668562e4d                  go-module
github.com/anchore/go-logger                                                         v0.0.0-20250318195838-07ae343dd722                  go-module
github.com/anchore/go-lzo                                                            v0.1.0                                              go-module
github.com/anchore/go-macholibre                                                     v0.0.0-20220308212642-53e6d0aaf6fb                  go-module
github.com/anchore/go-rpmdb                                                          v0.0.0-20250516171929-f77691e1faec                  go-module
github.com/anchore/go-struct-converter                                               v0.0.0-20221118182256-c68fdcfa2092                  go-module            (+1 duplicate)
github.com/anchore/go-struct-converter                                               v0.1.0                                              go-module
github.com/anchore/go-sync                                                           v0.0.0-20250326131806-4eda43a485b6                  go-module
github.com/anchore/go-version                                                        v1.2.2-0.20200701162849-18adb9c92b9b                go-module
github.com/anchore/packageurl-go                                                     v0.1.1-0.20250220190351-d62adb6e1115                go-module
github.com/anchore/stereoscope                                                       v0.1.22                                             go-module
github.com/anchore/syft                                                              v1.42.4                                             go-module
github.com/andybalholm/brotli                                                        v1.2.0                                              go-module
github.com/apparentlymart/go-cidr                                                    v1.0.1                                              go-module
github.com/apparentlymart/go-cidr                                                    v1.1.0                                              go-module
